Text,Useful
@118951 We cannot accommodate this request via Twitter. Please send us your details using the link provided by FR. ^GR,False
"@sainsburys minimum effort on the turkey lunch at Bicester today, not as advertised I’m afraid !!! https://t.co/NHihw4fUzH",True
"@120111 @115911 Sorry for the delay! Just sent you a DM, Julian! https://t.co/jg1YyB1ZS7 *CherneilRandolph",False
"@116191 Well played, my friend. -Becky",False
"@AmazonHelp That's what m doing n u making me believe more that refund policy by Amazon in India is really poor..!
Ur seller is even not taking calls nw",True
"I saw this in Walmart and picked it up right away. I love @118617 ! I know she won’t see this, but she’s inspired me so much💜☮️ https://t.co/HuaZnedXUm",True
@119037 I'm sorry you were charged unexpectedly! Please reach out to Amazon Pay for available options here: https://t.co/jiY13BA3fb  ^JP,False
"@NortonSupport 訳が分かりません。
MacからISPのPOPサーバを叩いて、ノートンWi-Fiプライバシーがonになっている、XperiaのdocomoMail宛に送信。Xperiaは、黙ったまま。ブラウザからのぞいても着信した様子はありません。",True
@115745 Sorry for the inconvenience. Do you see the data corrupted message when you try to open the game or download it?,False
@118940 Can you please DM us specific details of your concern so that we can properly follow up.,False
@SouthwestAir what’s going on at MBJ? Longest line I’ve ever seen in my life. Not sure we’ll make our flights?,True
@120687 Thanks for the update. We'll check and get back to you at the earliest. ^SC,False
@119635 We're here to assist. Please send us a DM of your email address so we can look into this with you.,False
@AldiUK @117260 @sainsburys @117249 @117246 @marksandspencer @Morrisons @Tesco The Cognac steeped ones scored a good 6! But the shelves were empty of the Sloe gin ones. Want to join the mince pie competition? ;),True
@119551 Glad you're happy with your vouchers Mo. Remember you can get up to 4x the value out of them on Clubcard Boost. Happy Halloween - Cameron,False
Why is @115940 showing commercials of a TV show while I'm watching it?,True
@119735 Hi - Visit this link to learn more about registering for our Do Not Mail list: https://t.co/NnwU5K9It3 -Cece,True
@120085 Amazonプライム無料体験をご利用ではありませんか？その場合、自動更新設定をオフにしていないと30日後に有料会員へ移行します。年会費請求時より特典未使用であれば、キャンセルと同時に返金いたします。 https://t.co/B5d8ID3epv  SM,False
Worst food and service ever @118625,True
@117459 Finder and Get Info windows don't include snapshots in their calculations so that's not the root cause. Let's meet within DM: https://t.co/GDrqU22YpT,False
"@118941 Hi, Brittany. You can always share your referral code with friends so you can rack up free rides when they sign up!",False
@116866 We're here to help! Send us a DM with your email address and more details so we can follow up.,False
@AirAsiaSupport name correction my case number 494610,True
@Ask_Spectrum What's up with no channel 9 (Local FOX) in area code 54024. World Series starting soon! Not okay!,True
"@118918 Thank you for letting us know, we'll get back to you soon with an update. ^BS",False
@VerizonSupport  https://t.co/KfY0DN54G1,True
@Delta I checked daily and flight 1403 was never offered as an option as I most certainly would have made the adjust on my trip.,True
"@117124 Unable to send invites on Xbox, you guys fixed something and it broke something else 😂",True
@119798 I’m sorry for the hassle. Please drop in your details here: https://t.co/GIJyeYqKE0 We will look into it. ^SB,False
"@119809 We know how precious your memories are, and we'll help any way we can. Which iOS version is running on your iPhone? Do you use iCloud Photo Library? Meet us in DM with details, and we'll find a solution together. https://t.co/GDrqU22YpT",False
@AmazonHelp You have all my details. Please expedite the process,True
@AmazonHelp Nothing official,True
"@119788 We would love to have you in Idea family. Please DM your number, pincode, preffered connection. Regards, Mahindra",False
@AmazonHelp Had a package scheduled for delivery today and it didn’t come I’m not happy,True
@comcastcares __credit_card__,True
@115827 Thanks for your patience. ^KM,False
"@116863 We want your Apple Watch to keep up with you at the gym. To begin, which watchOS is installed?",False
@117634 I love my new Kindle Oasis! Please tell me that immersion reading will be added in a future update?!,True
@Ask_Spectrum @115955 @119283 @119284 - this pole has been this way since April. It's @Ask_Spectrum utilities on the broken section. This needs to be addressed.,True
@119461 We've received your DM and will continue there.,False
"@117813 Here to help! Please DM us your email address and provide more details about your concern, so we can further assist.",False
@AskAmex The blue cash everyday card,True
@116614 Olá Georgiano. Sinto muito em saber disso. Por favor entre em contato com o nosso SAC no seguinte link: https://t.co/ouAOLcNWp4 ^JJ,False
@116467 @Delta That looks really good!,True
@119508 Of course I did 😋😋,True
"Hey @115821, maybe don't ask people to pay $8 for ""launch day arrival"" if you're not going to ship the package until the day after launch!",True
@TacoBellTeam It’s always the same. You say you’ll change but I still end up lonely late at night with someone else’s tacos 😭 I thought you loved me.,True
"@O2 I have got through &amp; Nikita explained to me that the bills will update in the next 3 days
I will keep an eye on it &amp; let you know!",True
"@119812 Hello. I'd like to help with your service issue. Please send a DM with your full name, address and phone number. -GM",False
@116302 @Tesco glad your sorted!,True
"@119898 Understood, we need to verify what the issue can be. What error are you getting when trying to sign in? ^JRA",False
@119220 Here to help! Send us a note here; https://t.co/dwDjAokZht and our team will be able to assist!,False
"@116899 Happy Halloween, Joe. Thanks for your fantastic post. We hope you had an amazing evening. ^DaniH",False
@117802 We are happy that our new selections bring you some comfort. Stay strong Cassandra ^CH,False
@AirAsiaSupport Thank you so much. We would like to fly on an early flight which arrives in Hat Yai before 11am. The 07:50 flight would be suitable.,True
@119701 Sorry for the delay. I'll be sure to pass on your feedback. Kindly wait until the mentioned time frame. Do keep us posted. ^AK,False
@118884 Hi! Let's check out the next article to troubleshoot Wired or Wireless Network Connection: https://t.co/Vp85fRXkHX,False
"@XboxSupport i’ve lost every bit of save data on my console, all because your CS rep didn’t know what the fuck she’s talking about",True
@118254 If you need further assistance please provide your tracking number. ^MS,False
Do any of my friends actually know IT and problem solving since 4 @116021 people can’t figure it the fuck out?,True
"@117167 You're welcome! If you ever need us again, just give us a... https://t.co/AUc7DGJpgF 🙂 /AR",False
"@AmazonHelp お返事ありがとうございます。
確認してみたところ、金額が不足していたみたいでした。無事に注文ができました！
丁寧な説明ありがとうございます。助かりました。",True
@116540 Read the previous tweets in this chain? @XboxSupport,True
@AmazonHelp See after getting amount it happens that eveyone become unable in assisting.,True
@118669 That's not okay. DM us.,False
"@hulu_support Has been this way for months.  Doesn't that tell you how much we hate the ""new experience?""  Can't even get a live person - twitter bot",True
"@118241 We're here to help. After backing up your device, let's try updating your device through iTunes: https://t.co/80YRnjDFDk",False
"@119739 Hello, I'm sorry to see that you feel this way and I'd be happy to help! Can you please DM more detail? ~AT",False
"@120248 Apologies for the typo, this would be for this coming weekend, Saturday 4th and Sunday 5th.  ^JW",False
@117408 Hello. I can help with that Starz issue. Can you DM us your account information pleaes? -ZL,False
"@116913 I'd like to have a member of our team ensure this is escalated to the correct teams for investigation. When you have a moment, please send us as many details as possible here: https://t.co/DFWr7dqiz5 ^SB",False
@AmazonHelp The carrier in both instances has been Amazon. Service has been awful once @115821 started doing the deliveries.,True
Ugh @115714 stop being such a tease https://t.co/OA5gkGMduc,True
@117927 That's awesome! Happy Halloween 🎃 -Sean,False
@117055 Hey Callie! Can you DM us the email on your account so we can investigate this?,False
"@ArbysCares The Arby's on wickersham Rd , highway 370 , nebraska",True
@Delta Ok.  Let me think about it.  How long do I have to decide?,True
"Hey @ChipotleTweets why does your ""authentic"" queso taste like actual powder?  #HoustonStrong",True
@117158 Glad you asked! Send a DM my way and I can help in a little more detail! :) https://t.co/senzStoecA *HillaryTurner,False
"@119916 Hi Robert, I'm sorry for my colleagues behaviour. I'd like to have this fed back to the Grocery Management Team. 1/2",False
@SW_Help How can I get this back please!? What do I need to do?,True
@AskPlayStation I can still get to the apps via the library folder but prefer the convenience of the home screen folder,True
@117172 @115913 Upgrading should be fun and we love our long-time customers. DM me so we can look into options together: https://t.co/c6ROkAqiws *HollyAdams,False
"@118309 We are sorry about the problem you had with our services. Kindly DM us your contact detail, pin code &amp; along with that share with us the exact address of the Idea store with pin code to forward your concern to our appropriate team.
Regards,
Darshan. https://t.co/LBfZgLCSfr",False
"@ChipotleTweets 2 for 2 in bad pickup order experiences with the app. No way to give feedback on orders, and contact form on https://t.co/dPk4cROuj0 takes too long to fill out.  You probably miss thousands of complaints about pickup order system problems.",True
"IT'S #reputationERA! GET THE EXCLUSIVE MAGAZINE ALBUM BUNDLES, ONLY AT @116062! https://t.co/WGk9iSPtEP https://t.co/BPppBiG4FN",True
@116636 Here to help! Send us a note via https://t.co/fS660rQ8NQ so our team can connect.,False
"@118742 Hey there, send us a PM and we'd be happy to further assist you in any way :) *ChanneyT",False
"Wow, stuck on hold with @115722 support and got someone I couldn't understand. So another 45 minutes on hold with this hellish music...",True
@ChipotleTweets is it still $3 if I add queso and guac to the boo rito 👻,True
@116940 Oh no! even with tapping the link and then the box in the link? Let's try again! https://t.co/dPHUAru2pc *MikeVance,False
Haha @117634 has been sneakily charging me $9.99 SINCE FEBRUARY for a service I never use💩🙈👎 $90 gone!!! Thanks @AmazonHelp,True
@XboxSupport It’s literally the only annoying thing about Xbox. I want to play with friends and some of them I can’t join games,True
"@120227 You should have received an email from us. In case, you haven't received the email,1/2^HN",False
"@Uber_Support I have moved recently from Delhi to Mumbai, India permanently. However, I keep getting SMS/email about offers in Delhi. How can I change that to Mumbai?",True
@AzureSupport How do I change default document (i.e. index.php) in WebApp?,True
@115766 @AskPlayStation  how do you preload on ps4,True
"@120304 Sorry for trouble.But as informed earlier, we have provided the best possible resolution to you.Regards,Neha L",False
@119158 grand opening weekend has been horrible because: 1. your dining room is closed for maintenance 2. Your parking lot is a mess,True
@119096 That mask is terrifying. -Jen,False
@115901 If you set a recording for a sports team it will try to record it on any available network. - Matt,False
@118939 Here to help! Contact us here; https://t.co/oKhNTOteP5 so we can take a closer look.,False
@115887 Could you send us a DM with your account's email address? We'll take a look backstage /CH https://t.co/ldFdZRiNAt,False
@AmericanAir Yes I did! I'm sending you a DM now.,True
"@119787 Our apologies. Please follow and DM with full name on reservation, details of concern and your email address. Thank you. -AM",False
"I will always stand by Taco Bell, but they did me dirty tonight and I am truly offended.",True
@AskPapaJohns Yes I can. I will update you!,True
@118242 We want to help. Which version of iOS 11 do you have installed on your device? Let us know in DM. https://t.co/GDrqU22YpT,False
@118767 We should have them available – just ask a cashier. -Becky,False
"@115886 I would like to sincerely apologize for the stress, frustration, and the inconvenience that you endured due to an equipment change.  *HCK",False
@AmazonHelp Seriously!!! Ur customer service already told me cancel d order .. Amazon can't do anything to it..n till now it's showing expected on 25th👏,True
@AskAmex Nope. They weren’t ready to listen what I wanted to say and if I had any questions about anything else and hung up on me.,True
@118436 The best way to check (if you didn't receive an e-mail notice) would be to contact us by phone/chat: https://t.co/6YdK7bvQN7.,False
"@TacoBellTeam Wrong items in order, stale shells, nacho supreme with only cheese and beans,no one answers phone,Nonsense",True
@117978 Hey! Sorry about that. We'll pass the feedback on to the right people /RB,False
@ChipotleTweets Modern day cowgirl https://t.co/rnMPTfhjFP,True
@119703 Kindly revert to our email correspondence with further query on this and we'll be happy to take it over from there. ^AB,False
"@120211 We want to inform you that, the day you recharged the validity for 2 days and when you check in App validity was different. https://t.co/LBfZgLUt6Z",False
@118510 Please DM us with the iOS version showing in Settings &gt; General &gt; About. We're eager to look into what's going on. https://t.co/GDrqU22YpT,False
@116026 Well I would be more than happy to take a look at that claim for you. Could you DM us with more details please? ^BB,False
@hulu_support I need help watching live tv on my tv,True
"@120631 We can help with battery life. Do you know what version of the iOS is on the device?  If not, you can check under Settings &gt; General &gt; About &gt; Version.",False
@119052 Let's look at this closer. Please DM us. https://t.co/GDrqU22YpT,False
"@BofA_Help Another promise!
Am waiting...",True
@SouthwestAir Just filled it out! Thank you,True
@Delta hi. I've just received a skymiles card from Amex. How can I check my skymiles account using the number on the card?,True
"fuck, im 152 dollars in the red thanks to comcast.",True
@AmazonHelp @115821 consider leaving the delivery of packages to the experts at @115817 or @81. Obvious decline in service when it’s @115821 logistics.,True
@117674 Hi Caspar. Thanks for bringing this up. We’re always testing things in order to improve &amp; we'll pass on your thoughts to our devs /JU,False
@British_Airways Need to change my seat on LHR-CPH for tomorrow but have an AA ticket. How can I do that?,True
"@British_Airways That’s definitely the plan! Thanks for the great flight, as always.",True
@118398 @118190 It's working for me at this very moment.,True
@AskPlayStation does Netflix on PS4 Pro utilise HDR? The Netflix app on my TV has a HDR badge on it and looks better than my Pro app,True
@116349 Send us a DM please and we will go from there. https://t.co/GDrqU22YpT,False
@116876 I'm sorry for the frustration! We'd like to investigate and escalate this to the correct team. Please send us your details here: https://t.co/z3ZEuyUDXX ^JP,False
@118724 Let's team up in DM and determine how we can clear up this space. You can reach us at the link below. https://t.co/GDrqU22YpT,False
@Tesco I managed to checkout thank you luckily didn't loose me space 😂,True
@ChipotleTweets Thanks Becky! Just feeling sorry for myself because my fiancé is driving from D.C. To Mississippi tonight,True
@118663 That's not okay. Where did you get this?,False
@BoostCare I DMd hours ago and I'm still having problems,True
@115863 Go ahead and send us a DM please. Let us know the country you're in.,False
posted up @ chipotle to get my $3 burrito https://t.co/5LUVhGnB3u,True
@116120 Oh! Thanks for noticing! 😃 *TMT,False
"@119879 Is that Rosie? Well played, my friend. -Becky",False
"@117558 I'm so sorry for any frustration. You can come on in, though – we'd love to see you. -Becky",False
"@120006 Hi, Derek! Help is here. May we know which version of you are using? https://t.co/3qcAsLFkaY",False
"@118944 Sorry to hear this, will you please DM us with your email address associated with your account and more details? We'll look into it.",False
@116984 That's correct. -Becky,False
@116940 Oh my! Send me a DM so we can go over this happening. https://t.co/dPHUAru2pc *MikeVance,False
@119957 what the Broadcaster chooses to show on their channel. Thank you. -Lindsey (2),False
@AmazonHelp @115766 Can I get a confirmation that it will ship tomorrow?,True
"@AmericanAir In the meantime, we can't do work by something as simple as receiving and sending emails. Pathetic &amp; Where is @116462 refunding my fees??",True
@118218 I'm sorry for any frustration caused! Let us know if you do need help in the future. ^MM https://t.co/wKJHDXWGRQ,False
"@British_Airways 4 days late. I was assured it was going to be put on 1 of 3 other flights from London to Chicago that day, as was travelling to Wisconsin.",True
"@117022 Then let’s take a look at what triggered the restriction. DM your full name, email address, and registered postal code. ^LJ",False
"#upsscam why ups always charge cod ? Why they can't figure out cost  before when shipping is calculated ?
@115817 @UPSHelp",True
@117503 We want to make sure we understand the issue. Are you wanting to disable the passcode and still use Touch ID?,False
@SW_Help @119696 Yes,True
@120538 Request you to wait till estimate delivery date for an update. I'm positive that it will be delivered accordingly. ^RW,False
Missing my entire Halloween with kids because @Delta can't find a flight attendant for my flight home. #bestlaidplans #anotherdisappointment,True
@120092 We'd like to have a look into this. Kindly report it here: https://t.co/2t6DQoUmNZ and our team will revert shortly. ^AB,False
Ordered cases for our new iPhone X and @115821 sent me iPhone 8 cases for BOTH ones. NOT THE SAME PHONE! #pissed,True
"@116114 Hi there, I've replied to your DM about this. Apologies - Josh",False
"@MicrosoftHelps What kind of details do you need? From Friday afternoon when I first opened dialup PPP, massive data churning.",True
"@116038 Hello, do you have any account related concerns that we can help with? Our Social Care Team is here if you need us. Thanks. ^cr",False
Bruh @ChipotleTweets u really just made me pay full price for my burrito I'm tight,True
@AmazonHelp Did you guys do anything?,True
@AlaskaAir The flight destination signs are showing Minneapolis through to San Jose - is this a fuel stop?,True
@ChipotleTweets day 6 https://t.co/LrG9l6yqJd,True
"@117652 Hi, can you tell us more about this in a DM? We'll look into this together from there. https://t.co/GDrqU22YpT",False
I'm @118287 for halloween this year. Omw to @ChipotleTweets to top off the costume. Will post pics later 😎👌,True
@119871 Are you still seeing this issue? Let us know. We're here to help. ^DO,False
@Postmates_Help my Postmates can't speak English and can't find my address can you help us,True
"@116883 My apologies, Wendy. You may call Reservations at one of the worldwide locations listed here: https://t.co/kqomiX8FCI *AAB",False
@AmericanAir acá un te serbice sucia. Same price but one baggage less. Bogotá airport staff are rude and make a real mess,True
"A cocktail that changes colors? We're in. Cody Blaylock at #BacchusBar shares a recipe for his ""Hocus Pocus"": https://t.co/V5jXcngaxp https://t.co/2pSb9OyniW",False
"@ChipotleTweets app order messed up AGAIN. I paid Xtra 4 dbl meat n ordered a salad. 4th time. I want compensation, ive lost $18 to your errors in last few months. https://t.co/6GHolsSGm6",True
"@116893 That's strange, Amy. Sorry for the confusion caused. ^Rach",False
@Uber_Support hi can you please help my friend @119548,True
@119429 @XboxSupport No it didn’t has issues connecting with the wire. It works going wireless,True
@118443 My apologies for any frustration. Is there anything I may be able to help with? ^AP .,False
Lightroom fucking me over but at least I tried https://t.co/p3x9DAl8sr,True
"@120700 In that case, I request you to file a charge dispute, the bank will help you further. Appreciate your cooperation. ^BS",False
"@119507 Please send us a Direct Message, so that we can further assist you. -AL",False
"@117242 @117244 @117245 @marksandspencer @117246 @117247 @Tesco @sainsburys @117248 @AldiUK @117249 @Morrisons @117250 @117251 @117243 @117252 Not going to lie, we were sweating a bit at going up against Iceland's pies! Over the moon to still be top of the leaderboard! https://t.co/uSxiQtXSAZ",True
@119844 Hi there! The master account is the one that have to change the parental control: https://t.co/v5bXhBqFcG,False
@Safaricom_Care I bought airtime for the line. Has it been consumed?,True
@118925 Did we ask you to wait a certain date before we could offer alternative options? ^EZ,False
@AmazonHelp why doesn't blue light filter work on kids account on the fire kids edition?,True
@nationalrailenq But she’s now missed the connection to Blackburn?,True
"@115977 From what I see, we're good to go. -Tay",False
@116259 We love it! Sounds like a double win! New friend✔ Cozy blankets ✔. Thanks for choosing us. -Sabi,False
"@117467 Yes, it was not scheduled to land in MSP but according to our flight program it is taking a intermittent landing for 20 min to fuel. -Sean",False
@116366 Many thanks and kind regards! - Martin 4/4,False
@SouthwestAir I heard a wonderful and heart-warming story from my @115873 passenger yesterday about the airline helping her after breaking her foot. It doesn't surprise me. Southwest is a great company.,True
@delta extremely disappointed in your service at SFO. Gate agents are terribly and not helpful at all. #goldmember,True
@SpotifyCares I tried uninstalling the program in safe mode but it still doesn't work,True
"@119293 Hello! Regarding your question about Cartoon Network, could you please provide details? What device are you using to stream Vue?",False
@117491 Thanks for that info. Let's change the color space to PC RGB and then change TV resolution to automatic or 1080p if that is possible.  ^JL,False
@VerizonSupport Yes,True
"@118437 Sorry to hear about trouble, Bob! No issues to report on our end but we're here to help. What device? Try: https://t.co/HXpLyTU79x",False
Enjoying the end of the #IronBowl with this top notch @115722 service https://t.co/K0taDAwjZA,True
"@5646 @MicrosoftHelps I am having a problem with my computer games. I just tried playing 3 of them and a message came up saying ""Game Could Not Intiate"" Some of my other game do not load at all or a message comes up saying ""You need administrative access"" Plz help.",True
@AppleSupport iPhone 7 Plus 😊,True
@VirginAtlantic Hi just wondering why I’m unable to check in online for my flight tomorrow from LAS-LGW?,True
"@120223 That is not the experience we want you to have. Let's work as a team to get the iPhone up and running. First, we will need to gather more information. Please DM us the iOS version and what was happening before the device began restarting. https://t.co/GDrqU22YpT",False
"@117898 Hello I am so sorry to hear about that issue. Can you please send me a DM, so we can work on this further? Thanks in advance! ^JDG",False
@117983 I can certainly pass on your feedback to the necessary department but I can't guarantee that we'll be able to get service out there. -Ra,False
@115893 email address and contact telephone number. We'll look into your complaint and contact you for an update 2/2. ^Oliver,False
@AppleSupport I have updated my WatchOS but cannot stream the radio on LTE  (@115911) . Wi Fi (both tethered and direct from watch) works,True
"@116686 We'd love to provide you all the details, please DM for info! *JohnWard",False
"Save big our best-selling phones, &amp; get FREE Upgrades to any phone after 12 consecutive on-time payments https://t.co/yvX1tLnLlZ",True
"@118464 Hello, this does not sound good.  Can you DM the account name and complete service address? We would like to help.  -Dan",False
@AdobeCare W10. Issue with immediate Illustrator crash on launch was solved with setting default printer to Adobe - a fix I eventually found in the Forums. Weird - but it worked!,True
@115920 You'd need to contact our Aftersales team on 0344 556 5650 from 8am ^CB,False
@AskLyft ✔️ Thank you!,True
@SpotifyCares @118117 Why does it say “can’t play this right now” and why are playlist songs greyes out (originally imported from iTunes),True
My flight to MIA next week is on the 1st day @AmericanAir is offering a new pre-order fruit &amp; cheese plate option in F… will try it &amp; see 🤔,True
@116332 We'd like to see what we can do to assist. What version of iOS are you currently running? We released iOS 11.1 today.,False
@118103 We want to look into this with you. DM us and let us know what model of computer you use this cord with. https://t.co/GDrqU22YpT,False
"@117532 Hi Teresa, we're now following you so please feel free to send us a DM now.^Jo",False
@118142 We feel the same. -Becky,False
Threw on a Mason jersey and a DeMonte Buckingham Headband for a $3 #boorito 😂 @ChipotleTweets https://t.co/ANUGh6etuW,True
"@AmazonHelp amazon just doesn’t seem to get it together, poor customer service, warranty is a scam",True
"@118792 If you would like to discuss the fees you are referring to, please reach out to us with your account information. -STS",False
@116228 Hi there! Please reach out to me at this link for assistance. Thank you. ^TV https://t.co/c9WoAfwenP,False
@117918 Please DM your complete address and name on the account. -Maria,False
"@120242 We don't have a scheduled timescale I'm afraid, once these carriages are available they will be in use. Apologies for the busy conditions.",False
"@119773 As per our telecon,your concern has been addressed and suitable resolution has been communicated.

Regards,
Jagjeet https://t.co/LBfZgLCSfr",False
I️ fucking hate Wells Fargo,True
@115841 @115821 Feliz #Halloween2017 https://t.co/edHbRDnM8x,True
"@120265 Hi, how can we help you today? ^HK",False
"@120034 I'm so sorry for the trouble. If you have a moment, please contact us by phone or chat here: https://t.co/hApLpMlfHN. ^LH",False
@116325 Have you tried deleting the card from the account and re-adding it? Have you reached out to USPS about these deliveries? ^AF https://t.co/1XyLaGkcaN,False
@117243 @117244 @117241 @117245 @marksandspencer @117246 @117247 @Tesco @sainsburys @117248 @AldiUK @117249 @Morrisons @117250 @117251 @117252 So the @117243 mince pies are ready to go in to tasting!! #mincepiewars https://t.co/rS7gnUA3bF,True
@117489 Really sorry to hear this. Please do report this to the onboard team and they should be able to assist you further ^HP,False
@SouthwestAir Are children allowed to sign up for Rapid Rewards?,True
@115949 Hi there. Buses depart from the northern interchange at Reading. Phil.,False
@120039 You can add your insight by writing back to the e-mail sent by our team. We'll reply to the same. ^MP 2/2,False
"Introducing the new Control Center in iOS 11. Now customizable.
Learn more https://t.co/fCNsZCyS3P https://t.co/WiFGzhh3AZ",False
@116994 I dig it. We appreciate you stopping by! -Becky,False
"@116544 Correct. If you have any other support questions, just let us know.  ^JA",False
@116571 We're going to forward this to our flight service leadership team for appropriate review.,False
@116321 Have you had a chance to speak with your bank regarding the refund? ^EA,False
"@115877 ""local traffic only"" (40 meters from my house) as if it meant he was not allowed to be where he was and took me walking out to see him",True
@116076  when you order one topping on each half but they decide to put them both on the same side. Smh https://t.co/RP8ioCMvMD,True
@AmazonHelp Today; 1st November. Or I wouldn't have ordered. I needed them to arrive at mums today so she can bring to me urgently in hospital tonight.,True
"@116430 Looking forward to it, Benjamin! ^VM https://t.co/Ec8x79yZWE",False
@115900 .. terrible.. worst service ever,True
"@119734 Hey there, I would like to further assist you with your request. Can you please DM your full address and more details? -ZC",False
"@118708 I'm very sorry to hear that, J! Have you had trouble with a recent order/delivery? ^HM",False
@118187 This isn’t how I want you to feel. Let me look into this for you. DM your name and complete address. -Maria,False
"@117228 Hi, I'm glad to hear you switched to Xfinity! Let me know if you need any assistance! - MH",False
Can you order reiki on uber eats? Asking for a friend,True
@SouthwestAir Only witches melt though...what are you saying?? 🤔,True
"i gotta take a $20 lyft cause my only route home detoured for construction so if y'all wanna help 😪

https://t.co/jYLxccvI57",True
@116052 Hello! We have some documentation that may help: https://t.co/WvN5SLVlHj Let us know if we can assist further! ^MH,False
"@115911 I'm new to. What's a ""DM""?",True
@119593 Please send us a screenshot of the error message. May we know which MS Word version are you using? Let us know.,False
@sprintcare You gonna magically change your connectivity for me and my whole family ? 🤥 💯,True
